iter	Passed	Remaining
0	59	59269
1	70	34995
2	79	26392
3	134	33531
4	182	36232
5	190	31607
6	209	29777
7	214	26584
8	245	27033
9	301	29810
10	329	29633
11	357	29425
12	362	27516
13	374	26374
14	414	27189
15	419	25786
16	455	26340
17	472	25790
18	483	24956
19	491	24070
20	549	25605
21	553	24612
22	561	23861
23	576	23458
24	645	25182
25	649	24315
26	662	23857
27	664	23080
28	673	22535
29	679	21966
30	687	21487
31	691	20923
32	697	20431
33	707	20108
34	713	19667
35	718	19252
36	764	19887
37	772	19560
38	778	19180
39	808	19398
40	815	19076
41	819	18690
42	856	19051
43	939	20422
44	952	20208
45	979	20317
46	1006	20402
47	1034	20513
48	1047	20326
49	1072	20374
50	1082	20148
51	1125	20513
52	1134	20274
53	1153	20199
54	1173	20161
55	1191	20078
56	1289	21336
57	1319	21423
58	1327	21173
59	1342	21026
60	1346	20730
61	1358	20551
62	1365	20311
63	1372	20071
64	1392	20024
65	1397	19778
66	1399	19485
67	1401	19202
68	1403	18934
69	1404	18663
70	1407	18415
71	1417	18272
72	1420	18041
73	1423	17812
74	1429	17629
75	1433	17429
76	1436	17216
77	1446	17103
78	1520	17727
79	1558	17926
80	1562	17724
81	1568	17556
82	1572	17378
83	1577	17197
84	1586	17073
85	1594	16943
86	1640	17212
87	1646	17065
88	1648	16878
89	1679	16984
90	1726	17244
91	1733	17111
92	1737	16948
93	1790	17254
94	1804	17193
95	1812	17064
96	1820	16951
97	1836	16905
98	1851	16854
99	1859	16731
100	1888	16812
101	1898	16717
102	1916	16688
103	1924	16582
104	1962	16730
105	1977	16680
106	1982	16549
107	1987	16417
108	2000	16355
109	2027	16403
110	2036	16308
111	2048	16241
112	2051	16101
113	2069	16085
114	2074	15964
115	2076	15825
116	2079	15690
117	2082	15562
118	2084	15434
119	2087	15311
120	2089	15177
121	2092	15058
122	2138	15245
123	2183	15425
124	2200	15404
125	2204	15290
126	2236	15377
127	2238	15248
128	2239	15123
129	2241	14998
130	2242	14877
131	2244	14757
132	2245	14640
133	2247	14524
134	2249	14416
135	2252	14312
136	2254	14202
137	2255	14091
138	2257	13982
139	2259	13881
140	2261	13775
141	2263	13678
142	2294	13750
143	2299	13667
144	2304	13586
145	2320	13572
146	2347	13623
147	2350	13531
148	2353	13439
149	2361	13380
150	2362	13283
151	2380	13283
152	2446	13542
153	2450	13464
154	2484	13542
155	2507	13567
156	2512	13488
157	2525	13457
158	2528	13375
159	2531	13290
160	160	3570	18606
161	3575	18493
162	3576	18365
163	3579	18245
164	3580	18120
165	3582	18166	2581	12877
167	2584	12798
168	2616	12867
169	2625	12817
170	2630	12753
171	2645	12735
172	2683	12829
173	2691	12778
174	2701	12734
175	2710	12687
176	2711	12606
177	2755	12727
178	2762	12671
179	2767	12608
180	2769	12533
181	2771	12455
182	2813	12559
183	2818	12499
184	2829	12462
185	2841	12434
186	2842	12358
187	2853	12326
188	2859	12270
189	2923	12465
190	2937	12443
191	2939	12371
192	2945	12315
193	2950	12256
194	2957	12207
195	2987	12253
196	3005	12250
197	3009	12190
198	3017	12144
199	3022	12088
200	3024	12020
201	3027	11961
202	3029	11896
203	3039	11861
204	3043	11802
205	3050	11757
206	3052	11692
207	3056	11638
208	3101	11736
209	3105	11682
210	3108	11622
211	3109	11557
212	3111	11495
213	3113	11437
214	3115	11374
215	3116	11312
216	3117	11250
217	3119	111219218	3121	111220219	3142	111221	4160	14578
222	4207	14659
223	4222222	4228	14734
223	423225	4276	14645
226	4289225	4301	14732
226	4312	14685
227	433229	4389	14696
230	4416	14702
231	4427	14657
232	4457	14674
233	4468232	4462	14689
233	4479	14664
234	448236	4545	14633
237	4597	14719
238	4611	14683
239	4645	14712
240	4666	14695
241	4676	14647
242	4748	14791
243	4756	14737
244	4819	14852
245	4894	15001
246	4909	14966
247	4912	14896
248	5001	15085
249	5007	15023
250	5035	15027
251	5072	15055
252	5089	15028
253	5101	14981
254	5106	14920
255	5143	14947
256	5159	14916
257	5196	14946
258	5212	14914
259	5230	14886
260	5239	14836
261	5266	14834
262	5289	14823
263	5309	14802
264	5323	14766
265	5337	14727
266	5359	14714
267	5374	14679
268	5377	14613
269	5427	14674
270	5439	14633
271	5447	14579
272	5517	14693
273	5546	14697
274	5567	14678
275	5569	14610
276	5573	14546
277	5606	14559
278	5645	14589
279	5650	14528
280	5725	14649
281	5739	14613
282	5767	14612
283	5776	14562
284	5777	14494
285	5779	14428
286	5873	14591
287	5894	14572
288	5906	14531
289	5940	14544
290	5963	14529
291	5967	14470
292	6008	14498
293	6028	14475
294	6035	14422
295	6061	14416
296	6089	14412
297	6127	14435
298	6137	14388
299	6151	14353
300	6166	14320
301	6176	14275
302	6188	14234
303	6195	14184
304	6235	14208
305	6248	14171
306	6253	14116
307	6259	14062
308	6262	14004
309	6266	13948
310	6308	13976
311	6328	13955
312	6353	13945
313	6365	13907
314	6377	13868
315	6404	13861
316	6420	13834
317	6441	13815
318	6465	13802
319	6482	13775
320	6489	13726
321	6495	13677
322	6498	13621
323	6538	13642
324	6561	13627
325	6569	13581
326	6576	13535
327	6594	13509
328	6608	13477
329	6618328	6668	13600
329	6677	13556
330	6734	13610
331	6759	13601
332	6766	13554
333	6805	13570
334	6848	13593
335	6863	13563
336	6939	13652
337	6965	13642
338	6973	13597
339	7012	13612
340	7014	13556
341	7062	13588
342	7103	13605
343	7105	13550
344	7111	13501
345	7116	13452
346	7120	13398
347	7131	13361
348	7149	13336
349	7169	13314
350	7182	13281
351	7190	13236
352	7193	13185
353	7199	13138
354	7206	13093
355	7231	13082
356	7243	13046
357	7248	12998
358	7250	12945
359	7275	12934
360	7282	12890
361	7297	12860
362	7313	12833
363	7350	12843
364	7356	12798
365	7383	12789
366	7391	12748
367	7442	12781
368	7459	12756
369	7462	12706
370	7496	12710
371	7503	12666
372	7541	12677
373	7559	12652
374	7568	12614
375	7596	12606
376	7603	12564
377	7612	12527
378	7645	12527
379	7651	12484
380	7657	12440
381	7674	12415
382	7719	12435
383	7736	12410
384	7759	12395
385	7773	12365
386	7777	12318
387	7795	12295
388	7847	12325
389	7902	12359
390	7914	12327
391	7923	12290
392	7938	12261
393	7958	12241
