category,headline,Topic_0,Topic_1,Topic_2,Topic_3,Dominant_Topic,Perc_Dominant_Topic
ENTERTAINMENT,good actress talk act movie work reese witherspoon,0.740817,0.027847972,0.20246865,0.028866401,Topic 0,0.74
POLITICS,gay marriage approve society unravel,0.041812558,0.52089554,0.39546716,0.041824736,Topic 1,0.52
POLITICS,visit superstitious tweeter,0.06267606,0.06266752,0.8119656,0.06269079,Topic 2,0.81
POLITICS,bum,0.12537938,0.12536135,0.12538548,0.6238738,Topic 3,0.62
ENTERTAINMENT,drop trouble,0.08359385,0.74919367,0.08359674,0.083615795,Topic 1,0.75
ENTERTAINMENT,poster star comic con promo photo,0.03584885,0.45991084,0.16439682,0.3398435,Topic 1,0.46
POLITICS,use holocaust denial legal defense,0.04385927,0.042242963,0.8719869,0.041910853,Topic 2,0.87
POLITICS,agree effect cause crime surge,0.042278662,0.04175003,0.87397873,0.0419926,Topic 2,0.87
ENTERTAINMENT,admit get awkward starstruck,0.45066398,0.4490793,0.050123915,0.05013281,Topic 0,0.45
POLITICS,system sabotage,0.083478965,0.7495484,0.08348096,0.08349171,Topic 1,0.75
POLITICS,legal scholar trash prevent,0.84930325,0.050113823,0.050453346,0.050129533,Topic 0,0.85
POLITICS,model forecast dead heat election,0.8739358,0.042391945,0.0417423,0.041929957,Topic 0,0.87
POLITICS,tie,0.62468386,0.12510586,0.12510146,0.1251088,Topic 0,0.62
POLITICS,torture,0.12537989,0.12536137,0.12538427,0.6238745,Topic 3,0.62
POLITICS,troop kill wound niger,0.24877365,0.050120592,0.64768565,0.053420153,Topic 2,0.65
POLITICS,keep rule let dem block trump judge,0.32149586,0.031371277,0.032205928,0.61492693,Topic 3,0.61
POLITICS,face art deal,0.06305471,0.8074545,0.06679402,0.06269673,Topic 1,0.81
POLITICS,actually politically correct politician,0.8454437,0.050208826,0.053299624,0.05104782,Topic 0,0.85
POLITICS,turn actually put baby corner,0.04198979,0.04226596,0.87398726,0.04175699,Topic 2,0.87
POLITICS,propose clamp open process,0.05015818,0.21545126,0.05456877,0.6798218,Topic 3,0.68
POLITICS,middle class taxis lot money,0.041738443,0.87073004,0.041748866,0.045782648,Topic 1,0.87
ENTERTAINMENT,thing hate,0.08450669,0.08574079,0.083416514,0.746336,Topic 3,0.75
POLITICS,governor call oppose common core,0.042088907,0.8710465,0.0444889,0.042375773,Topic 1,0.87
POLITICS,never really recover passing,0.84972864,0.050077755,0.05008257,0.050111007,Topic 0,0.85
POLITICS,dangerous happy support,0.06263828,0.80860597,0.0655554,0.06320036,Topic 1,0.81
ENTERTAINMENT,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,people hate rahm emanuel much may cost,0.9028437,0.03178502,0.03130935,0.03406193,Topic 0,0.9
POLITICS,warn culture war,0.30332556,0.0663543,0.56723684,0.0630833,Topic 2,0.57
ENTERTAINMENT,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,total,0.6237465,0.12539102,0.12541598,0.1254465,Topic 0,0.62
ENTERTAINMENT,tear worthy moment season rank,0.04203192,0.87265265,0.043534197,0.04178122,Topic 1,0.87
POLITICS,thaw climate conflict,0.062623054,0.06346891,0.0629405,0.8109675,Topic 3,0.81
POLITICS,take transgender bathroom,0.06517626,0.3207252,0.55137396,0.06272453,Topic 2,0.55
POLITICS,rise tide lift boat boatless leave suffer,0.90284926,0.034216538,0.031599715,0.031334482,Topic 0,0.9
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,debate,0.12504129,0.13879113,0.12503664,0.61113095,Topic 3,0.61
POLITICS,could end slaughter hour,0.8481434,0.050556105,0.05121775,0.05008275,Topic 0,0.85
POLITICS,limited small staff,0.06263236,0.8120904,0.06263381,0.062643394,Topic 1,0.81
ENTERTAINMENT,put family feud fail shame,0.042994678,0.87022,0.043009777,0.043775555,Topic 1,0.87
ENTERTAINMENT,trailer send,0.08615168,0.0836862,0.4315019,0.3986602,Topic 2,0.43
POLITICS,trump toxic even member would rather vote,0.36612666,0.5694296,0.03225125,0.032192558,Topic 1,0.57
POLITICS,sander call liar,0.062956735,0.06314772,0.55553776,0.31835777,Topic 2,0.56
ENTERTAINMENT,enough fan caress face,0.05014324,0.22077924,0.052032325,0.67704517,Topic 3,0.68
TECH,build minecraft world,0.06263323,0.8119223,0.06280299,0.06264149,Topic 1,0.81
POLITICS,shed conceit,0.7492488,0.08356788,0.083582625,0.08360067,Topic 0,0.75
POLITICS,still mad health care blame,0.042492494,0.042669695,0.8731396,0.041698147,Topic 2,0.87
ENTERTAINMENT,infinity music award,0.41535124,0.06270614,0.45920774,0.06273487,Topic 2,0.46
POLITICS,really hope stop say racist thing judge,0.13234009,0.031513356,0.03151779,0.80462873,Topic 3,0.8
POLITICS,trial come close probably hear much,0.87249595,0.04016282,0.036093794,0.051247437,Topic 0,0.87
ENTERTAINMENT,come soon fast furious live,0.042997066,0.8707447,0.042786106,0.043472137,Topic 1,0.87
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
ENTERTAINMENT,get,0.624924,0.12504609,0.12501499,0.1250149,Topic 0,0.62
POLITICS,governor threaten expansion fed reject reform,0.03697466,0.036100626,0.03607198,0.89085275,Topic 3,0.89
POLITICS,challenger lose purport ban memo,0.86010534,0.047514714,0.050297875,0.04208203,Topic 0,0.86
POLITICS,agree military deal record sum,0.041843582,0.0436036,0.8705529,0.043999966,Topic 2,0.87
POLITICS,lie blindness affirmative action,0.050104953,0.8487913,0.050990067,0.050113734,Topic 1,0.85
ENTERTAINMENT,admit never love,0.81153995,0.06267468,0.062876664,0.06290869,Topic 0,0.81
POLITICS,supporter use fake minimum wage petition ballot,0.031332415,0.28096682,0.6556633,0.032037452,Topic 2,0.66
ENTERTAINMENT,perfectly tweet bachelor season episode,0.38203007,0.5335786,0.04256156,0.04182976,Topic 1,0.53
