RECALL,hospira,queri,critic,personnel,known,roller,delay,repres,therapi,unspecifi,clinic,door,contact,biomed,though,info,whitescreen,iui,44510,vial,e321,mmdg,devic,11004,center,touchscreen,upon,track,pcu,test,charger,pin,clave,verif,timeout,note,program,concurr,hotlin,depart,recal,unrestrict,tank,america,cme,lithium,outlook,interm,provid,clutch,report,broken,engin,mainten,advers,field,facil,chemotherapeut,code,shield,length,triton,injector,multir,agent,tone,unsign,resum,taper,n180,pendant,optionlok,plum,fill,s233,wing,alarm,le,cassett,volt,servic,prevent,distal,secondari,audibl,insulin,chondrolysi,attribut,pc,batteri,ultrasit,easypump,piggyback,polish,medfus,mode,paramet,shaft,infusor,addl,llicon,particl,ysite,n186,beeper,specif,modul,shoulder,incid,piezo,rptr,packag,solut,float,communic,lt,bodyguard,hyperbar,librari,breg,durat,tool,mdrreport,sound,raw,plumset,prong,enclosur,gemstar,llacon,10050s,e301,proxim,leakag,ai,deliveri,third,blue,ctr,dimens,hl90,asreceiv,underdeliveri,parti,s321,hardwar,user,diamet,zosyn,reassess,glenohumer,materi,surgeri,singleus,bladder,alter,200mlhr,cap,warmer,fentanyl,error,closer,factori,fan,particul,request,lvp,mdr,artifici,microbor,transistor,volum,cone,reason,equip,e630,z18702011,result,lifescan,ultrason,k865060,stopper,deviat,walkm,hpca,cmea,ground,connector,dilaudid,silenc,plug,conclus,reprogram,brokencrack,drift,melt,unknown,fourier,abbott,temp,contribut,analysi,legaci,weight,auxiliari,biom,colleagu,80frn,overpouch,hl390,window,ac,articular,loss,suggest,dept,spectroscopi,infrar,swollen,name,octob,deliv,ringer,overtemperaturepsc,999,lactat,default,whether,caresit,transform,desferrioxamin,irrig,anesthesia,reprocess,recalibr,alari,diod,expect,press,sani,nut
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4153789404029421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423319864524606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2763948084722586,0.0,0.0,0.0,0.1352034316883509,0.0,0.0470023280235838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086743897512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042218708407528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1501278687386439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0580781922973061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0827973347301936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0785333886527415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0180201552890885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0356424609261614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071652097356003,0.0,0.0057732920124714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832104594710825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4233125677435393,0.0252768649780552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3799789495209447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1402397983852285,0.0,0.2742721611655107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211669719993851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085908683379293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124834094930774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0045178375324243,0.0015619143254469,0.0034825491778361,0.0,0.0108733134974481,0.0,0.0022067274018933,0.0133752424602542,0.003826998267224,0.0015376966363565,0.0,0.0198291789226356,0.0,0.0,0.0,0.0,0.0,0.0,0.0891777110574979,0.0,0.0,0.0,0.0163242188745441,0.0147780449931642,0.0,0.1484846361807632,0.0,0.0,0.0,0.0027725672132409,0.0,0.0147684140789944,0.0532182338108454,0.0,0.0,0.0048996264812928,0.0012921098228578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443237719942576,0.0,0.3529675434913586,0.0019949170655907,0.0,0.0130762111542672,0.0148493720504673,0.0,0.1393809778221175,0.0,0.0051105995545567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091228564735911,0.0,0.0,0.0,0.0218131473348277,0.0114102589609738,0.0013024028823946,0.0031404498735885,0.0027969575653795,0.0074879669296488,0.0,0.0,0.0,0.0031636624393592,0.0,0.0,0.0057560281312428,0.0,0.0,0.0152501602710835,0.0038763294685735,0.0,0.0,0.0023967996615516,0.0,0.0,0.0,0.0,0.0,0.0566122539694787,0.0,0.0,0.0625447707106417,0.0,0.0,0.0,0.0103398440627827,0.0,0.0029414967117841,0.0,0.0,0.0,0.0,0.0,0.0013862836066204,0.0,0.0,0.0035695063517729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085107704768458,0.0029414967117841,0.0,0.0,0.0,0.0,0.0,0.0,0.0017343997144562,0.0,0.0018737756061591,0.1050779656510195,0.0,0.0,0.0,0.0,0.0,0.0012294487990332,0.0,0.0,0.0,0.0060076703039203,0.0,0.0,0.0,0.0064132660014561,0.0015619143254469,0.0,0.0,0.0,0.0016365438470056,0.0,0.0,0.0,0.0,0.0,0.1878079849809084,0.0,0.0011941012962876,0.0,0.0,0.0,0.1585807723258594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018322042941033,0.0013024028823946,0.0470891666853486,0.0014236945336793,0.0,0.0,0.0,0.001771428441474,0.0,0.0,0.0,0.0019592978196001,0.0149167607788135,0.0,0.0,0.0,0.0136990217072942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012870332632716,0.0,0.017953378764083,0.0,0.0,0.0,0.0,0.0018737756061591,0.0328283234429462,0.0,0.0,0.0039694942899563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0947182071137952,0.0046595998696372,0.0,0.0
0,0.0,0.0,0.0,0.0464208975142128,0.0164228236221486,0.0,0.0,0.0838136433533859,0.007186483616848,0.0,0.0,0.0,0.0208673232803799,0.0111793841465135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1575829000122719,0.0,0.0,0.0,0.0249853832127164,0.0,0.0,0.0107414441017523,0.0,0.0,0.0,0.0,0.0,0.0059649742175072,0.0,0.0,0.0,0.0089053336844432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053707220508761,0.0,0.263971554157265,0.0,0.0,0.0,0.031752387564945,0.0096620672686003,0.0596076226246831,0.0,0.0966034009246369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128786644693589,0.0,0.0,0.0,0.1585862567003735,0.0,0.0,0.0,0.0,0.0,0.0,0.0090731874332596,0.0,0.084335181534083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059649742175072,0.1735765158133209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0825001674963286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0611151466718582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0354903052654149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052886064498827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250573944363768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0450753256427564,0.0,0.0,0.0,0.0071222575587589,0.0,0.0,0.0,0.0,0.0,0.3522965823301368,0.0,0.0,0.0,0.0,0.0307736174113116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1631507736067493,0.0,0.0,0.0,0.0,0.1354003874978342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1752852843901136,0.0,0.0,0.0,0.1215907230887335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2527103136556768,0.0,0.0,0.0,0.0,0.0,0.1289239814927174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1158028593529985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.2010199242926816,0.204244528601049,0.1024606980679517,0.1494063432318107,0.1321427500499628,0.1512318187114553,0.0842991573442317,0.1348777235783793,0.0837458402657338,0.0953025132042145,0.0845759760165314,0.2403697343342351,0.1350955500000618,0.0496289830912343,0.0865762845154928,0.147996411488482,0.0,0.0,0.0,0.0,0.0558557510171671,0.0,0.3822609941098581,0.0,0.0847466425001552,0.0,0.1074521790706635,0.0476959712173811,0.0,0.1341135630335676,0.0312175388674582,0.0402058809812838,0.0,0.0503349129806875,0.0285488968454435,0.0893716641600652,0.1749420047568352,0.0350182219164481,0.0,0.0395337210936491,0.0312770225776971,0.1661876127010209,0.0,0.0,0.0,0.0,0.0,0.0,0.1162317546290919,0.0,0.3361884895102719,0.0603616126482893,0.0223710724358611,0.0263770762275567,0.0669556905223395,0.0107232779287148,0.0588039884960259,0.0,0.0288652028328703,0.0154812624742303,0.045335797758795,0.0,0.0,0.0,0.0,0.0,0.0242371090045944,0.0052754152455113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357329064827569,0.0245275239116566,0.0310181144320214,0.0,0.0918282829218452,0.0322231702726956,0.0210174520448626,0.0,0.0,0.0,0.0,0.0050348599239394,0.0,0.0340356144805775,0.0,0.0,0.0,0.0,0.0,0.0283959910833878,0.0156385112888485,0.00822996550894,0.0,0.0290086631191936,0.0,0.0,0.0,0.0097219035448282,0.0,0.0496509245333695,0.0,0.0,0.0,0.0,0.0143717897600654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0559276810896528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1564173597035224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508706898739675,0.0,0.0390219235843228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055209176657767,0.0,0.0,0.0406582445483907,0.0756159093557276,0.0,0.0,0.0,0.0627228777943267,0.0,0.0,0.0,0.0,0.0,0.0624894972990056,0.0,0.0096348706958056,0.0,0.0,0.0,0.0205431387863495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039522570666973,0.0,0.0,0.0059908260769778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065845823466695,0.0,0.0,0.0,0.0,0.0,0.1115295142058376,0.0079375465858078,0.0,0.0,0.0079375465858078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0578980928571693,0.0046996266541331,0.0,0.0
1,0.0,0.0,0.0067646589817333,0.0007653183986607,0.0155684112235914,0.0028081758727217,0.0062612977020798,0.0034544853046786,0.017179600612736,0.0,0.0013224964917965,0.0269622755715581,0.022935283162627,0.0073723592874554,0.0033844372225198,0.0362451925827219,0.0,0.0,0.0,0.0021204617916328,0.0,0.0,0.1473432267523873,0.0,0.0,0.0,0.0242003979142165,0.0053139085441099,0.0,0.1429992714675015,0.0011593372373655,0.0025596696146954,0.0,0.0,0.0,0.0358946775619991,0.0242156647190554,0.0013004846034287,0.0,0.0088090701557387,0.0139385556698238,0.0,0.0,0.0,0.0,0.0,0.1000923211490839,0.0,0.0243497211477169,0.0033110213117531,0.2835913947262554,0.0011955581003821,0.0091388303117975,0.0720967342575165,0.0130871480874636,0.0199117160743541,0.0726121937669483,0.0,0.0085758213420569,0.0,0.0016836522171269,0.0,0.0,0.0,0.0,0.0008731214465969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034544853046786,0.0,0.0,0.1151858661191738,0.0029148406023306,0.0027646347327957,0.0082538285398151,0.042059882711077,0.0676981087881381,0.0,0.0207028622140291,0.0033524454037635,0.0067313320983728,0.0,0.0,0.0,0.084055544423075,0.0,0.0,0.0425450675870556,0.0,0.0,0.0126546285386466,0.0,0.0,0.0,0.0201097008978553,0.0,0.0035683897350684,0.0,0.0,0.0,0.0378615092092319,0.0017885439026503,0.0,0.0473746202146362,0.0,0.0,0.0,0.0096392968770705,0.0,0.014984185254752,0.0,0.0,0.0,0.0199106127364298,0.0,0.0016616055112359,0.0,0.0,0.0021392128559308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000747925788708,0.0,0.0073674222616784,0.0061699586343096,0.0,0.0,0.0,0.0,0.0,0.0,0.0041577179596778,0.0,0.0044918310497858,0.0443333098310325,0.0,0.0,0.0,0.0,0.0,0.0051576792200021,0.0,0.0,0.0,0.0120013659049867,0.0024603882304262,0.0,0.0049769006385453,0.1076175561408211,0.0,0.0,0.0,0.0,0.0034327449011949,0.0,0.0,0.0,0.0,0.0,0.1450434671327274,0.0,0.0014312549650085,0.0015800068049696,0.0,0.0,0.1172714124147944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020655444004273,0.001349216469592,0.0012724531953463,0.0,0.0101469271365972,0.0056441278328772,0.0025596696146954,0.0,0.0,0.0,0.018047555060147,0.0,0.0,0.0,0.0,0.0166873408981598,0.0,0.0097892746272153,0.0,0.0456102958752332,0.0,0.0,0.0,0.0,0.0010901334523892,0.0270586359269335,0.0,0.0023139654323072,0.001446831668338,0.0107594986181903,0.0,0.0,0.0,0.0017544928652687,0.0,0.0553980815854056,0.0023582367256614,0.0,0.0047578529800912,0.0023582367256614,0.0042698435920073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034322706738525,0.0498842408787138,0.0027925082524845,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378528097339491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2303228627999698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2691994729432365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2119554877928706,0.0,0.2703451224130441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3413533441170424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2262451199356158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1269280514538413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249843515352743,0.0,0.2868035114397874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0239460550836102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0811375005445591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1706870375024646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2650102875172128,0.0,0.0,0.0,0.0555576389902313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244416693094297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0264591584321393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521850338788658,0.0,0.0,0.0368342527168965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0258741378575611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247941931505855,0.0,0.0,0.0,0.0,0.0187783304431699,0.0,0.0,0.0,0.0207698719471954,0.0421673803262333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0740923291365296,0.0,0.0
